Unique,Page,Survey,Length,Sex,Locode,Loc,Location,Date,Freq,Code,Signal,Latitude,Longitude,blank,10/16/2024,10/24/2024,11/1/2024,12/27/2024,3/17/2025,5/19/2025,6/11/2025,7/22/2025,9/8/2025,9/24/2025,10/10/2025,10/22/2025,10/29/2025,,
37,2,0,358,M,40,Orange,Bottom Section,9/28/2024,150.4,40,NA,62.8921,-143.7311,,A,A,A,A,M,AL,M,M,M,M,M,M,M,,
42,2,0,344,M,41,Blue,Lake Shore,9/28/2024,150.4,41,NA,62.915,-143.7578,,A,A,A,A,AL,A,AL,AL,AL,AL,AL,AL,AL,,
44,2,0,385,F,42,Blue,Lake Shore,9/28/2024,150.4,42,NA,62.915,-143.7578,,A,AL,A,A,A,A,A,M,M,M,M,M,M,,
43,2,0,358,F,43,Blue,Lake Shore,9/28/2024,150.4,43,NA,62.915,-143.7578,,A,AL,AL,A,A,A,M,AL,AL,AL,AL,AL,AL,,
49,2,0,394,M,44,Blue,Lake Shore,9/28/2024,150.4,44,NA,62.915,-143.7578,,A,A,A,A,A,A,AL,AL,AL,AL,AL,AL,AL,,
60,2,0,384,M,45,Purple,Mentasta Creek,9/28/2024,150.4,45,NA,62.9057,-143.7531,,A,AL,A,A,M,M,M,M,M,AL,AL,AL,M,,
33,1,0,397,M,46,Orange,Bottom Section,9/28/2024,150.4,46,NA,62.8921,-143.7311,,A,A,A,A,M,M,M,M,M,M,M,M,M,,
56,2,0,379,M,47,Purple,Mentasta Creek,9/28/2024,150.4,47,NA,62.9057,-143.7531,,A,A,A,A,A,A,AL,A,A,AL,AL,AL,AL,,
46,2,0,350,M,48,Blue,Lake Shore,9/28/2024,150.4,48,NA,62.915,-143.7578,,A,AL,A,A,M,M,M,M,AL,M,M,M,M,,
59,2,0,396,M,49,Purple,Mentasta Creek,9/28/2024,150.4,49,NA,62.9057,-143.7531,,A,A,A,M,M,M,M,M,M,M,M,M,M,,
50,2,0,378,M,50,Blue,Lake Shore,9/28/2024,150.4,50,NA,62.915,-143.7578,,A,A,A,A,A,A,A,AL,A,A,M,M,M,,
78,3,0,354,M,51,Red,Allotment to Camp,9/29/2024,150.4,51,NA,62.904,-143.7787,,A,AL,AL,A,A,A,A,A,AL,AL,A,A,A,,X
79,3,0,359,M,52,Red,Allotment to Camp,9/29/2024,150.4,52,NA,62.904,-143.7787,,A,AL,A,A,A,A,A,A,A,AL,AL,AL,AL,,
100,3,0,370,F,53,Red,Top Run,9/29/2024,150.4,53,NA,62.9015,-143.7888,,M,M,AL,M,M,M,M,AL,M,M,M,M,M,,
110,4,0,347,F,54,Red,Top Run,9/29/2024,150.4,54,NA,62.9015,-143.7888,,AL,A,A,A,M,M,M,M,M,M,M,M,M,,
96,4,0,354,M,55,Red,Allotment to Camp,9/29/2024,150.4,55,NA,62.904,-143.7787,,A,A,A,AL,A,A,M,M,M,M,M,M,M,,
104,3,0,357,F,56,Red,Top Run,9/29/2024,150.4,56,NA,62.9015,-143.7888,,A,A,A,A,A,AL,AL,AL,AL,AL,AL,AL,AL,,
81,3,0,342,M,57,Red,Allotment to Camp,9/29/2024,150.4,57,NA,62.904,-143.7787,,A,A,AL,A,AL,A,A,A,A,M,M,M,M,,
102,3,0,328,F,58,Red,Top Run,9/29/2024,150.4,58,NA,62.9015,-143.7888,,A,A,A,A,A,A,A,A,A,A,A,A,AL,,XX
105,4,0,375,F,59,Red,Top Run,9/29/2024,150.4,59,NA,62.9015,-143.7888,,A,AL,AL,A,AL,AL,AL,AL,AL,AL,AL,AL,AL,,
92,4,0,339,M,60,Red,Allotment to Camp,9/29/2024,150.4,60,NA,62.904,-143.7787,,A,AL,A,A,M,M,M,M,M,M,M,M,M,,
93,4,0,359,M,61,Red,Allotment to Camp,9/29/2024,150.4,61,NA,62.904,-143.7787,,A,AL,A,A,A,A,A,M,AL,AL,AL,AL,AL,,
98,3,0,340,F,62,Red,Top Run,9/29/2024,150.4,62,NA,62.9015,-143.7888,,A,AL,A,A,A,A,A,M,M,M,M,M,M,,
99,3,0,348,F,63,Red,Top Run,9/29/2024,150.4,63,NA,62.9015,-143.7888,,A,AL,A,A,A,A,A,A,A,AL,AL,AL,A,,XX
101,3,0,351,F,64,Red,Top Run,9/29/2024,150.4,64,NA,62.9015,-143.7888,,A,AL,A,A,A,A,A,A,M,M,M,M,M,,
103,3,0,361,F,65,Red,Top Run,9/29/2024,150.4,65,NA,62.9015,-143.7888,,A,A,AL,M,M,M,M,M,M,M,M,M,M,,
108,4,0,366,M,66,Red,Top Run,9/29/2024,150.4,66,NA,62.9015,-143.7888,,A,A,A,A,AL,AL,AL,AL,AL,AL,AL,AL,AL,,
111,4,0,366,M,67,Red,Top Run,9/29/2024,150.4,67,NA,62.9015,-143.7888,,A,A,A,A,A,A,A,A,AL,AL,AL,AL,AL,,
95,4,0,342,F,68,Red,Allotment to Camp,9/29/2024,150.4,68,NA,62.904,-143.7787,,A,A,A,A,M,M,M,M,M,M,M,M,M,,
109,4,0,408,F,69,Red,Top Run,9/29/2024,150.4,69,NA,62.9015,-143.7888,,A,A,A,A,A,A,A,A,A,A,AL,AL,A,,X
97,4,0,355,M,70,Red,Allotment to Camp,9/29/2024,150.4,70,NA,62.904,-143.7787,,A,AL,A,M,M,M,M,M,M,M,M,M,M,,
106,4,0,346,F,71,Red,Top Run,9/29/2024,150.4,71,NA,62.9015,-143.7888,,M,M,M,M,M,M,M,M,M,M,M,M,M,,
112,4,0,372,M,72,Red,Top Run,9/29/2024,150.4,72,NA,62.9015,-143.7888,,A,AL,A,A,A,A,AL,M,M,M,M,M,M,,
107,4,0,344,F,73,Red,Top Run,9/29/2024,150.4,73,NA,62.9015,-143.7888,,A,AL,A,A,A,AL,AL,AL,M,AL,AL,AL,M,,XX
80,3,0,373,M,74,Red,Allotment to Camp,9/29/2024,150.4,74,NA,62.904,-143.7787,,A,A,A,A,M,M,M,M,AL,M,M,M,M,,
94,4,0,374,M,75,Red,Allotment to Camp,9/29/2024,150.4,75,NA,62.904,-143.7787,,A,A,A,A,A,M,M,M,M,M,M,M,M,,
90,4,0,350,M,76,Red,Allotment to Camp,9/29/2024,150.4,76,NA,62.904,-143.7787,,A,AL,A,A,A,A,A,M,AL,AL,AL,AL,AL,,
71,3,0,376,M,77,Red,Allotment to Camp,9/29/2024,150.4,77,NA,62.904,-143.7787,,A,A,AL,A,A,A,AL,AL,AL,AL,AL,AL,AL,,
67,3,0,365,F,78,Red,Allotment to Camp,9/29/2024,150.4,78,NA,62.904,-143.7787,,A,A,AL,AL,AL,M,M,M,M,M,M,M,M,,
76,3,0,344,M,79,Red,Allotment to Camp,9/29/2024,150.4,79,NA,62.904,-143.7787,,A,A,A,A,A,A,A,A,A,A,M,M,M,,
84,4,0,363,M,80,Red,Allotment to Camp,9/29/2024,150.4,80,NA,62.904,-143.7787,,M,M,M,M,M,M,M,M,M,M,M,M,M,,
77,3,0,336,M,81,Red,Allotment to Camp,9/29/2024,150.4,81,NA,62.904,-143.7787,,A,A,A,A,M,AL,AL,AL,AL,AL,AL,AL,AL,,
83,4,0,345,M,82,Red,Allotment to Camp,9/29/2024,150.4,82,NA,62.904,-143.7787,,A,AL,AL,A,A,A,AL,AL,AL,AL,AL,M,AL,,
82,4,0,493,M,83,Red,Allotment to Camp,9/29/2024,150.4,83,NA,62.904,-143.7787,,A,A,A,AL,M,AL,AL,AL,AL,AL,AL,AL,AL,,
86,4,0,363,M,84,Red,Allotment to Camp,9/29/2024,150.4,84,NA,62.904,-143.7787,,A,A,A,A,AL,AL,A,M,M,M,M,M,M,,
66,3,0,368,M,85,Red,Allotment to Camp,9/29/2024,150.4,85,NA,62.904,-143.7787,,A,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,,
75,3,0,346,M,86,Red,Allotment to Camp,9/29/2024,150.4,86,NA,62.904,-143.7787,,A,A,A,A,A,A,A,A,A,AL,A,A,A,,X
91,4,0,345,M,87,Red,Allotment to Camp,9/29/2024,150.4,87,NA,62.904,-143.7787,,A,A,AL,M,AL,M,M,M,M,AL,AL,AL,M,,
65,3,0,350,F,88,Red,Allotment to Camp,9/29/2024,150.4,88,NA,62.904,-143.7787,,A,AL,A,A,A,A,A,M,M,AL,M,M,M,,
64,2,0,356,M,89,Purple,Mentasta Creek,9/28/2024,150.4,89,NA,62.9057,-143.7531,,A,A,A,A,A,A,A,AL,AL,A,AL,AL,AL,,
73,3,0,359,M,90,Red,Allotment to Camp,9/29/2024,150.4,90,NA,62.904,-143.7787,,A,A,A,A,AL,A,A,A,A,AL,AL,A,AL,,XX
68,3,0,341,M,91,Red,Allotment to Camp,9/29/2024,150.4,91,NA,62.904,-143.7787,,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,,
69,3,0,334,M,92,Red,Allotment to Camp,9/29/2024,150.4,92,NA,62.904,-143.7787,,A,A,A,A,A,A,A,A,A,A,AL,AL,AL,,
88,4,0,336,M,93,Red,Allotment to Camp,9/29/2024,150.4,93,NA,62.904,-143.7787,,A,A,A,A,M,AL,AL,AL,AL,AL,AL,AL,AL,,
89,4,0,363,M,94,Red,Allotment to Camp,9/29/2024,150.4,94,NA,62.904,-143.7787,,A,A,A,M,M,M,M,M,M,M,M,M,M,,
85,4,0,402,F,95,Red,Allotment to Camp,9/29/2024,150.4,95,NA,62.904,-143.7787,,A,A,A,AL,AL,A,AL,AL,AL,AL,AL,AL,AL,,
74,3,0,365,M,96,Red,Allotment to Camp,9/29/2024,150.4,96,NA,62.904,-143.7787,,A,A,A,A,A,A,M,M,M,M,M,M,M,,
70,3,0,336,M,97,Red,Allotment to Camp,9/29/2024,150.4,97,NA,62.904,-143.7787,,A,A,A,A,A,A,A,AL,AL,AL,AL,A,A,,X
72,3,0,325,M,98,Red,Allotment to Camp,9/29/2024,150.4,98,NA,62.904,-143.7787,,AL,A,A,A,AL,A,A,M,M,M,M,M,AL,,
61,2,0,366,F,99,Purple,Mentasta Creek,9/28/2024,150.4,99,NA,62.9057,-143.7531,,A,A,A,A,A,A,A,A,A,M,M,M,M,,
87,4,0,351,F,100,Red,Allotment to Camp,9/29/2024,150.4,100,NA,62.904,-143.7787,,A,A,A,M,M,M,M,M,M,M,M,M,M,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,A,92,62,76,73,52,52,31,21,20,9,8,10,10,,
,,,,,,,,,,,,,,M,4,7,7,16,30,32,39,47,47,47,53,50,55,,
,,,,,,,,,,,,,,AL,4,31,17,11,18,16,30,32,33,44,39,40,35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Found,96,69,83,89,82,84,70,68,67,56,61,60,65,,
